video_title,video_views,video_dislikes,video_likes,video_rating,video_length,video_category,video_author,video_publish_date
Circuit Analysis: Crash Course Physics #30,682786,313.0,9908,682786.0,00:010:56,Education,CrashCourse,20161104
Capacitors and Kirchhoff: Crash Course Physics #31,276247,123.0,3281,276247.0,00:010:38,Education,CrashCourse,20161118
Magnetism: Crash Course Physics #32,1111774,687.0,14144,1111774.0,0:09:47,Education,CrashCourse,20161201
Ampère's Law: Crash Course Physics #33,376519,200.0,5526,376519.0,0:08:45,Education,CrashCourse,20161208
Induction - An Introduction: Crash Course Physics #34,631160,447.0,7985,631160.0,0:09:49,Education,CrashCourse,20161216
How Power Gets to Your Home: Crash Course Physics #35,217500,140.0,3121,217500.0,0:08:33,Education,CrashCourse,20161222
AC Circuits: Crash Course Physics #36,378354,518.0,5102,378354.0,00:010:7,Education,CrashCourse,20170106
Maxwell's Equations: Crash Course Physics #37,517158,558.0,8429,517158.0,00:010:49,Education,CrashCourse,20170113
Geometric Optics: Crash Course Physics #38,532837,259.0,7536,532837.0,0:09:40,Education,CrashCourse,20170119
Light Is Waves: Crash Course Physics #39,749819,394.0,8300,749819.0,0:09:45,Education,CrashCourse,20170126
Spectra Interference: Crash Course Physics #40,183628,63.0,2574,183628.0,0:08:25,Education,CrashCourse,20170202
Optical Instruments: Crash Course Physics #41,231924,159.0,3194,231924.0,00:010:36,Education,CrashCourse,20170216
Special Relativity: Crash Course Physics #42,789257,520.0,15644,789257.0,0:08:59,Education,CrashCourse,20170223
Quantum Mechanics - Part 1: Crash Course Physics #43,1519666,772.0,23977,1519666.0,0:08:45,Education,CrashCourse,20170303
Quantum Mechanics - Part 2: Crash Course Physics #44,348542,119.0,6461,348542.0,0:09:08,Education,CrashCourse,20170309
Nuclear Physics: Crash Course Physics #45,602033,305.0,9745,602033.0,00:010:24,Education,CrashCourse,20170320
Astrophysics and Cosmology: Crash Course Physics #46,430937,136.0,10429,430937.0,0:09:21,Education,CrashCourse,20170324
Lecture - 1 Introduction to Quantum Physics;Heisenberg''s uncertainty principle,1178521,236.0,8240,1178521.0,1:00:56,Education,nptelhrd,20081216
Lecture - 2 Introduction to linear vector spaces,366195,74.0,1844,366195.0,1:03:17,Education,nptelhrd,20081217
Lecture - 3 Characteristics of linear vector spaces,114064,14.0,571,114064.0,1:02:12,Education,nptelhrd,20081217
Lecture - 4 Functions in a linear vector space,82961,14.0,310,82961.0,00:059:5,Education,nptelhrd,20090105
Lecture - 5 Linear operations in a linear vector space and their eigenvalues,71451,9.0,303,71451.0,1:05:21,Education,nptelhrd,20090105
Lecture - 6 Classical Vs Quantum Mechanics,116862,13.0,550,116862.0,00:057:52,Education,nptelhrd,20090106
Lecture - 7 Quantum Physics,103138,7.0,376,103138.0,1:07:51,Education,nptelhrd,20090107
Lecture - 8 Quantum Physics,66213,10.0,227,66213.0,00:057:7,Education,nptelhrd,20090110
Lecture - 9 Quantum Physics,51110,9.0,206,51110.0,1:02:10,Education,nptelhrd,20090116
Lecture - 10 Quantum Physics,47624,3.0,217,47624.0,00:052:57,Education,nptelhrd,20090116
Lecture - 11 Quantum Physics,47722,5.0,194,47722.0,1:32:52,Education,nptelhrd,20090121
Lecture - 12 Quantum Physics,48897,5.0,164,48897.0,1:00:49,Education,nptelhrd,20090129
Lecture - 13 Quantum Physics,34534,5.0,145,34534.0,1:03:27,Education,nptelhrd,20090304
Lecture - 14 Quantum Physics,31275,6.0,120,31275.0,1:01:08,Education,nptelhrd,20090304
Lecture - 15 Quantum Physics,42922,2.0,121,42922.0,00:057:4,Education,nptelhrd,20090304
Lecture - 16 Quantum Physics,27464,2.0,86,27464.0,00:059:14,Education,nptelhrd,20090304
Lecture - 17 Quantum Physics,29591,3.0,110,29591.0,1:01:58,Education,nptelhrd,20090304
Lecture - 18 Quantum Physics,28001,4.0,98,28001.0,1:01:32,Education,nptelhrd,20090318
Lecture - 19 Quantum Physics,26063,2.0,126,26063.0,1:00:30,Education,nptelhrd,20090317
Lecture - 20 Quantum Physics,30113,2.0,146,30113.0,1:02:45,Education,nptelhrd,20090317
Lecture - 21 Quantum Physics,23954,4.0,69,23954.0,1:04:10,Education,nptelhrd,20090317
Lecture - 22 Quantum Physics,22241,3.0,80,22241.0,00:052:45,Education,nptelhrd,20090317
Lecture - 23 Quantum Physics,31124,9.0,89,31124.0,1:01:54,Education,nptelhrd,20090317
Lecture - 24 Quantum Physics,21829,2.0,74,21829.0,1:02:34,Education,nptelhrd,20090330
Lecture - 25 Quantum Physics,36791,3.0,90,36791.0,1:08:48,Education,nptelhrd,20090330
Lecture - 26 Quantum Physics,19981,0.0,72,19981.0,00:059:57,Education,nptelhrd,20090330
Lecture - 27 Quantum Physics,19944,2.0,65,19944.0,1:04:02,Education,nptelhrd,20090330
Lecture - 28 Quantum Physics,21847,2.0,72,21847.0,1:01:00,Education,nptelhrd,20090330
Lecture - 29 Quantum Physics,59360,11.0,407,59360.0,1:13:57,Education,nptelhrd,20090330
Lecture - 30 Quantum Physics,30611,3.0,146,30611.0,1:03:06,Education,nptelhrd,20090330
Lecture - 31 Quantum Physics,38000,3.0,140,38000.0,00:057:40,Education,nptelhrd,20090330
Crash Course Organic Chemistry Preview,279511,120.0,8917,279511.0,0:03:34,Education,CrashCourse,20200422
What Is Organic Chemistry?: Crash Course Organic Chemistry #1,294949,158.0,8959,294949.0,00:010:16,Education,CrashCourse,20200430
The Basics of Organic Nomenclature: Crash Course Organic Chemistry #2,190035,72.0,5601,190035.0,00:012:48,Education,CrashCourse,20200506
More Organic Nomenclature: Heteroatom Functional Groups: Crash Course Organic Chemistry #3,101309,45.0,2489,101309.0,00:012:24,Education,CrashCourse,20200520
3D Structure and Bonding: Crash Course Organic Chemistry #4,110517,36.0,2759,110517.0,00:014:33,Education,CrashCourse,20200527
IR Spectroscopy and Mass Spectrometry: Crash Course Organic Chemistry #5,111157,36.0,2923,111157.0,00:013:51,Education,CrashCourse,20200609
Alkanes: Crash Course Organic Chemistry #6,84393,44.0,2339,84393.0,00:011:51,Education,CrashCourse,20200624
Cyclohexanes: Crash Course Organic Chemistry #7,79442,44.0,2062,79442.0,00:014:9,Education,CrashCourse,20200708
Stereochemistry: Crash Course Organic Chemistry #8,89193,33.0,2504,89193.0,00:014:35,Education,CrashCourse,20200723
More Stereochemical Relationships: Crash Course Organic Chemistry #9,64240,21.0,1540,64240.0,00:012:48,Education,CrashCourse,20200805
"Polarity, Resonance, and Electron Pushing: Crash Course Organic Chemistry #10",81036,62.0,2662,81036.0,00:011:46,Education,CrashCourse,20200819
Acidity: Crash Course Organic Chemistry #11,94964,70.0,2896,94964.0,00:011:18,Education,CrashCourse,20200903
Nucleophiles and Electrophiles: Crash Course Organic Chemistry #12,50026,34.0,1497,50026.0,00:012:8,Education,CrashCourse,20200916
Intro to Reaction Mechanisms: Crash Course Organic Chemistry #13,56964,25.0,1619,56964.0,00:012:43,Education,CrashCourse,20200930
"E/Z Alkenes, Electrophilic Addition, & Carbocations: Crash Course Organic Chemistry #14",34687,11.0,1005,34687.0,00:014:2,Education,CrashCourse,20201014
Thermodynamics and Energy Diagrams: Crash Course Organic Chemistry #15,200513,50.0,17326,200513.0,00:011:12,Education,CrashCourse,20201028
Alkene Addition Reactions: Crash Course Organic Chemistry #16,41905,26.0,1133,41905.0,00:012:53,Education,CrashCourse,20201111
Alkene Redox Reactions: Crash Course Organic Chemistry #17,22106,17.0,625,22106.0,00:011:9,Education,CrashCourse,20201203
"Is It Too Late To Stop Climate Change? Well, it's Complicated.",4434228,7679.0,324371,4434228.0,00:010:7,Education,Kurzgesagt – In a Nutshell,20200929
What Is Intelligence? Where Does it Begin?,5850425,2776.0,316949,5850425.0,0:09:45,Education,Kurzgesagt – In a Nutshell,20200712
"Why Are You Alive – Life, Energy & ATP",6074404,3815.0,342459,6074404.0,00:011:31,Education,Kurzgesagt – In a Nutshell,20200510
What if We Nuke a City?,13679310,13770.0,581386,13679310.0,0:08:56,Education,Kurzgesagt – In a Nutshell,20191013
Who Is Responsible For Climate Change? – Who Needs To Fix It?,5430457,9365.0,327316,5430457.0,00:010:36,Education,Kurzgesagt – In a Nutshell,20200621
Wormholes Explained – Breaking Spacetime,14188226,4784.0,371531,14188226.0,0:09:12,Education,Kurzgesagt – In a Nutshell,20180812
Why Beautiful Things Make us Happy – Beauty Explained,6099482,2636.0,274484,6099482.0,0:07:37,Education,Kurzgesagt – In a Nutshell,20181023
String Theory Explained – What is The True Nature of Reality?,15566878,6222.0,465117,15566878.0,0:08:01,Education,Kurzgesagt – In a Nutshell,20180301
Is Organic Really Better? Healthy Food or Trendy Scam?,7708121,6810.0,271832,7708121.0,0:09:20,Education,Kurzgesagt – In a Nutshell,20190113
End of Space – Creating a Prison for Humanity,8934404,4364.0,278543,8934404.0,0:08:39,Education,Kurzgesagt – In a Nutshell,20181125
#0 Python Tutorial | Python Programming Tutorial for Beginners | Course Introduction,3280718,463.0,36617,3280718.0,0:01:06,Science & Technology,Telusko,20180816
#1 Python Tutorial for Beginners | Introduction to Python,2207234,532.0,34290,2207234.0,0:04:13,Science & Technology,Telusko,20180630
#2 Python Tutorial for Beginners | Python Installation | PyCharm,1931088,480.0,24559,1931088.0,0:08:33,Science & Technology,Telusko,20180701
#3 Python Tutorial for Beginners | Getting Started with Python,1859654,543.0,49110,1859654.0,00:014:49,Science & Technology,Telusko,20180702
#4 Python Tutorial for Beginners | Variables in Python,1457633,364.0,27927,1457633.0,00:010:22,Science & Technology,Telusko,20180702
#5 Python Tutorial for Beginners | List in Python,1350701,295.0,28060,1350701.0,00:010:42,Science & Technology,Telusko,20180703
#6 Python Tutorial for Beginners | Tuple | Set in Python,958372,182.0,16940,958372.0,0:06:41,Science & Technology,Telusko,20180703
Dictionary in Python,399217,107.0,6548,399217.0,00:012:24,Science & Technology,Telusko,20200128
#7 Python Tutorial for Beginners | Python Set Path in Windows and Help,768238,186.0,10836,768238.0,0:05:53,Science & Technology,Telusko,20180704
#8 Python Tutorial for Beginners | Python Editor | Sublime Text,505998,157.0,4989,505998.0,0:03:11,Science & Technology,Telusko,20181104
#9 Python Tutorial for Beginners | More on Variables in Python,644143,106.0,9065,644143.0,0:09:13,Science & Technology,Telusko,20180704
#10 Python Tutorial for Beginners | Data Types in Python,728578,197.0,11798,728578.0,00:014:35,Science & Technology,Telusko,20180705
#11 Python Tutorial for Beginners | Operators in Python,588373,120.0,9169,588373.0,00:011:7,Science & Technology,Telusko,20180706
#12 Python Tutorial for Beginners | Number System Conversion in Python,499288,98.0,6770,499288.0,0:08:16,Science & Technology,Telusko,20180706
#13 Python Tutorial for Beginners | Swap 2 Variables in Python,421929,90.0,4884,421929.0,0:04:52,Science & Technology,Telusko,20181022
Support Telusko,434330,55.0,9629,434330.0,0:01:11,Science & Technology,Telusko,20190529
#14 Python Tutorial for Beginners | IDLE Previous Command | Clear Screen?,397241,91.0,4255,397241.0,0:02:59,Science & Technology,Telusko,20180707
#15 Python Tutorial for Beginners | Python BitWise Operators,508532,186.0,8107,508532.0,00:012:42,Science & Technology,Telusko,20180707
#16 Python Tutorial for Beginners | Import Math Functions in Python,501640,122.0,7938,501640.0,0:07:39,Science & Technology,Telusko,20180708
#17 Python Tutorial for Beginners | Working with PyCharm | Run | Debug | Trace | py file,578127,186.0,10232,578127.0,00:010:26,Science & Technology,Telusko,20180709
#18 Python Tutorial for Beginners | User input in Python | Command Line Input,643031,192.0,10641,643031.0,00:011:59,Science & Technology,Telusko,20180710
#19 Python Tutorial for Beginners | If Elif Else Statement in Python,610659,198.0,9954,610659.0,00:015:38,Science & Technology,Telusko,20180711
#20 Python Tutorial for Beginners | While Loop in Python,621890,227.0,10740,621890.0,00:012:43,Science & Technology,Telusko,20180711
#21 Python Tutorial for Beginners | For Loop in Python,575053,165.0,9382,575053.0,0:07:27,Science & Technology,Telusko,20180712
#22 Python Tutorial for Beginners | Break Continue Pass in Python,438292,127.0,5964,438292.0,00:010:20,Science & Technology,Telusko,20180714
#22.1 Python Tutorial for Beginners | Break vs Continue vs Pass in Python part 2,225237,34.0,2910,225237.0,0:04:29,Science & Technology,Telusko,20180813
#23 Python Tutorial for Beginners | Printing Patterns in Python,518970,187.0,7761,518970.0,0:07:56,Science & Technology,Telusko,20180715
#24 Python Tutorial for Beginners | For Else in Python,234131,44.0,3722,234131.0,0:05:12,Science & Technology,Telusko,20190315
#25 Python Tutorial for Beginners | Prime Number in Python,317239,116.0,4348,317239.0,0:04:11,Science & Technology,Telusko,20190315
#26 Python Tutorial for Beginners | Array in Python,567598,205.0,7282,567598.0,00:015:57,Science & Technology,Telusko,20180718
#27 Python Tutorial for Beginners | Array values from User in Python | Search in Array,378114,86.0,8333,378114.0,00:010:2,Science & Technology,Telusko,20180720
#28 Python Tutorial for Beginners | Why Numpy? Installing Numpy in Pycharm,359159,116.0,4684,359159.0,0:06:58,Science & Technology,Telusko,20180720
#29 Python Tutorial for Beginners | Ways of Creating Arrays in Numpy,288189,56.0,3418,288189.0,00:010:7,Science & Technology,Telusko,20180722
#30 Python Tutorial for Beginners | Copying an Array in Python,238702,38.0,4519,238702.0,0:09:51,Science & Technology,Telusko,20180723
#31 Python Tutorial for Beginners | Working with Matrix in Python,363269,132.0,5117,363269.0,00:011:55,Science & Technology,Telusko,20180723
#32 Python Tutorial for Beginners | Functions in Python,414575,126.0,5927,414575.0,00:011:13,Science & Technology,Telusko,20180727
#33 Python Tutorial for Beginners | Function Arguments in Python,294044,195.0,3967,294044.0,0:07:52,Science & Technology,Telusko,20180730
#34 Python Tutorial for Beginners | Types of Arguments in Python,254749,51.0,3768,254749.0,0:09:55,Science & Technology,Telusko,20180730
#35 Python Tutorial for Beginners | Keyworded Variable Length Arguments in Python | **kwargs,221780,45.0,4045,221780.0,0:04:52,Science & Technology,Telusko,20180801
#36 Python Tutorial for Beginners | Global Keyword in Python | Global vs Local Variable,234605,81.0,8466,234605.0,0:08:21,Science & Technology,Telusko,20180801
#37 Python Tutorial for Beginners | Pass List to a Function in Python,203858,58.0,3202,203858.0,0:04:19,Science & Technology,Telusko,20180802
#38 Python Tutorial for Beginners | Fibonacci Sequence,272505,112.0,4336,272505.0,0:08:01,Science & Technology,Telusko,20190313
#39 Python Tutorial for Beginners | Factorial,200541,72.0,2929,200541.0,0:05:11,Science & Technology,Telusko,20180802
#40 Python Tutorial for Beginners | Recursion,244115,107.0,3728,244115.0,0:05:43,Science & Technology,Telusko,20180803
#41 Python Tutorial for Beginners | Factorial using Recursion,184262,37.0,6125,184262.0,0:04:57,Science & Technology,Telusko,20180805
#42 Python Tutorial for Beginners | Anonymous Functions | Lambda,229599,72.0,3830,229599.0,0:04:38,Science & Technology,Telusko,20180805
#43 Python Tutorial for Beginners | Filter Map Reduce,253583,62.0,4550,253583.0,00:011:34,Science & Technology,Telusko,20180807
#44 Python Tutorial for Beginners | Decorators,234798,270.0,3965,234798.0,0:07:33,Science & Technology,Telusko,20190317
#45 Python Tutorial for Beginners | Modules,270523,119.0,6708,270523.0,0:07:20,Science & Technology,Telusko,20180811
#46 Python Tutorial for Beginners | Special Variable __name__,222632,116.0,4812,222632.0,0:05:43,Science & Technology,Telusko,20180812
#47 Python Tutorial for Beginners | Special Variable __name__ part 2,150782,38.0,2913,150782.0,0:07:08,Science & Technology,Telusko,20180813
#48 Python Tutorial for Beginners | Object Oriented Programming | Introduction,209343,44.0,4272,209343.0,0:07:02,Science & Technology,Telusko,20180814
#49 Python Tutorial for Beginners | Class and Object,349893,144.0,6107,349893.0,00:011:1,Science & Technology,Telusko,20180815
#50 Python Tutorial for Beginners | __init__ method,293544,144.0,5020,293544.0,0:06:46,Science & Technology,Telusko,20180817
"#51 Python Tutorial for Beginners | Constructor, Self and Comparing Objects",249462,87.0,3806,249462.0,00:011:4,Science & Technology,Telusko,20180819
#52 Python Tutorial for Beginners | Types of Variables,165198,23.0,2474,165198.0,0:04:56,Science & Technology,Telusko,20180821
#53 Python Tutorial for Beginners | Types of Methods,192499,89.0,3033,192499.0,00:011:38,Science & Technology,Telusko,20180824
#54 Python Tutorial for Beginners | Inner class,152261,50.0,2195,152261.0,0:07:24,Science & Technology,Telusko,20180826
#55 Python Tutorial for Beginners | Inheritance,174099,49.0,3176,174099.0,0:06:51,Science & Technology,Telusko,20180827
#56 Python Tutorial for Beginners | Constructor in Inheritance,147296,21.0,2885,147296.0,0:08:28,Science & Technology,Telusko,20180828
#57 Python Tutorial for Beginners | Introduction to Polymorphism,128636,31.0,1679,128636.0,0:01:46,Science & Technology,Telusko,20180828
#58 Python Tutorial for Beginners | Duck Typing,163919,84.0,2354,163919.0,0:06:17,Science & Technology,Telusko,20180829
#59 Python Tutorial for Beginners | Operator Overloading | Polymorphism,166836,79.0,2603,166836.0,00:014:29,Science & Technology,Telusko,20180906
#60 Python Tutorial for Beginners | Method Overloading and Method Overriding,143475,43.0,2529,143475.0,00:010:17,Science & Technology,Telusko,20180907
Abstract Class and Abstract Method in Python,86656,107.0,1667,86656.0,00:012:29,Science & Technology,Telusko,20200221
#61 Python Tutorial for Beginners | Iterator,138843,62.0,2003,138843.0,00:010:48,Science & Technology,Telusko,20190321
#62 Python Tutorial for Beginners | Generators,117095,73.0,1976,117095.0,0:06:11,Science & Technology,Telusko,20190324
#63 Python Tutorial for Beginners | Exception Handling,185731,55.0,5551,185731.0,00:015:59,Science & Technology,Telusko,20180909
#64 Python Tutorial for Beginners | MultiThreading,185182,90.0,4728,185182.0,00:014:45,Science & Technology,Telusko,20180912
#65 Python Tutorial for Beginners | File handling,261073,129.0,4705,261073.0,00:012:14,Science & Technology,Telusko,20180916
#66 Python Tutorial for Beginners | Comments,81101,33.0,1441,81101.0,0:03:43,Science & Technology,Telusko,20180924
#67 Python Tutorial for Beginners | is Python Compiled or Interpreted Language?,116675,48.0,3069,116675.0,0:06:48,Science & Technology,Telusko,20180925
#68 Python Tutorial for Beginners | Linear Search using Python,131469,43.0,2062,131469.0,0:07:17,Science & Technology,Telusko,20181015
#69 Python Tutorial for Beginners | Binary Search Using Python,152661,70.0,2295,152661.0,0:09:22,Science & Technology,Telusko,20181020
#70 Python Tutorial for Beginners | Bubble Sort in python | List Sort,180206,123.0,2998,180206.0,0:07:21,Science & Technology,Telusko,20181023
#71 Python Tutorial for Beginners | Selection Sort using Python,126381,50.0,1901,126381.0,0:07:35,Science & Technology,Telusko,20181025
#72 MySQL Workbench Setup | Python Database Connection,204794,69.0,2423,204794.0,0:08:01,Science & Technology,Telusko,20181101
#73 Python Database Connection | MySQL,332806,157.0,3931,332806.0,0:07:42,Science & Technology,Telusko,20181104
#74 Python | Git | PyCharm | GitHub,159600,97.0,2110,159600.0,00:010:53,Science & Technology,Telusko,20181113
#75 Python Tutorial for Beginners |  Python GitHub Code Contribution,64916,14.0,934,64916.0,0:09:17,Science & Technology,Telusko,20181115
Zip Function in Python,43073,17.0,1123,43073.0,0:03:51,Science & Technology,Telusko,20200220
Socket Programming Using Python,82732,42.0,2137,82732.0,00:017:7,Science & Technology,Telusko,20200130
#76 Python Tutorial for Beginners |  Anaconda Setup,80722,30.0,980,80722.0,0:07:31,Science & Technology,Telusko,20181219
#77 Python Tutorial for Beginners |  Jupyter Notebook Setup,84289,23.0,862,84289.0,0:07:19,Science & Technology,Telusko,20181220
What after Python?,270629,142.0,10261,270629.0,0:05:41,Science & Technology,Telusko,20190219
#1 Django tutorials | What is Django? | Python Web Framework,474392,149.0,6388,474392.0,0:05:13,Science & Technology,Telusko,20190426
#2 Django tutorials | Setup,342872,103.0,4820,342872.0,00:011:16,Science & Technology,Telusko,20190502
#3 Django tutorials | First App in Django - part 1,307399,107.0,3005,307399.0,0:08:25,Science & Technology,Telusko,20190508
#4 Django tutorials | First App Django - part 2,199927,73.0,1810,199927.0,0:07:54,Science & Technology,Telusko,20190509
#5 Django tutorials | Django Template Language | DTL,138910,31.0,1656,138910.0,0:08:45,Science & Technology,Telusko,20190511
#6 Django tutorials | Django Template Language - part 2,92090,17.0,932,92090.0,0:04:00,Science & Technology,Telusko,20190512
#7 Django tutorials | Addition of Two Numbers in Django,98375,30.0,1168,98375.0,0:08:22,Science & Technology,Telusko,20190513
#8 Django tutorials | GET vs POST | HTTP Methods,84371,23.0,1275,84371.0,0:06:07,Science & Technology,Telusko,20190514
#9 Django tutorials | Model View Template in Django | MVT,76047,20.0,1508,76047.0,0:05:54,Science & Technology,Telusko,20190604
#10 Django tutorials | Static Files - 1,107421,64.0,1131,107421.0,0:07:31,Science & Technology,Telusko,20190516
#11 Django tutorials | Static Files - 2,96564,41.0,1337,96564.0,00:010:2,Science & Technology,Telusko,20190517
#12 Django tutorials | Passing Dynamic Data in Html part 1,79463,12.0,922,79463.0,00:010:56,Science & Technology,Telusko,20190519
#13 Django tutorials | Passing Dynamic Data in Html - part 2,55816,7.0,768,55816.0,0:09:56,Science & Technology,Telusko,20190520
#14 Django tutorials | If Statement,43922,8.0,605,43922.0,0:05:30,Science & Technology,Telusko,20190522
